address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
234 Western Ave,The Cuckoos Nest Albany,"['Southern', 'American New']",https://s3-media1.fl.yelpcdn.com/bphoto/6ZAVl7L2_hhjw0vN4fFu5g/ls.jpg,The Cuckoo's Nest,235.0,$$,4.5,https://www.yelp.com/biz/the-cuckoos-nest-albany?osq=restaurants
79 N Pearl St,The Hollow Bar And Kitchen Albany,"['American New', 'Music Venues', 'Venues & Event Spaces']",https://s3-media4.fl.yelpcdn.com/bphoto/XjDwO1v9-s3_snmE7tHmdw/ls.jpg,The Hollow Bar & Kitchen,304.0,$$,4.0,https://www.yelp.com/biz/the-hollow-bar-and-kitchen-albany?osq=restaurants
281 New Scotland Ave,The Albany Ale And Oyster Albany,"['American Traditional', 'Beer Bar']",https://s3-media3.fl.yelpcdn.com/bphoto/H-GObCpPpwr3XcCfOaBX8A/ls.jpg,The Albany Ale & Oyster,240.0,$$,4.5,https://www.yelp.com/biz/the-albany-ale-and-oyster-albany?osq=restaurants
42 Howard St,The City Beer Hall Albany,"['Bars', 'American Traditional', 'Gastropubs']",https://s3-media2.fl.yelpcdn.com/bphoto/rBAD9u1_2xl7RjKLcPwRJQ/ls.jpg,The City Beer Hall,489.0,$$,4.0,https://www.yelp.com/biz/the-city-beer-hall-albany?osq=restaurants
300 Delaware Ave,New World Bistro Bar Albany 3,"['American New', 'Bars', 'Seafood']",https://s3-media1.fl.yelpcdn.com/bphoto/VJUHgkhiZfjU5RoVORDcsw/ls.jpg,New World Bistro Bar,536.0,$$,4.0,https://www.yelp.com/biz/new-world-bistro-bar-albany-3?osq=restaurants
1192 Western Ave,Barcelona Albany,"['Spanish', 'Mediterranean', 'Tapas Bars']",https://s3-media2.fl.yelpcdn.com/bphoto/3zCyz5kOwQOFKJo0Pdmd1A/ls.jpg,Barcelona,136.0,$$,4.0,https://www.yelp.com/biz/barcelona-albany?osq=restaurants
1053 Broadway,Druthers Brewing Company Albany,"['Burgers', 'Brewpubs']",https://s3-media4.fl.yelpcdn.com/bphoto/wTLrpTljejQxsjfrZ3A9LQ/ls.jpg,Druthers Brewing Company,374.0,$$,4.0,https://www.yelp.com/biz/druthers-brewing-company-albany?osq=restaurants
1108 Madison Ave,Cafe Madison Albany,"['Breakfast & Brunch', 'Salad', 'Sandwiches']",https://s3-media1.fl.yelpcdn.com/bphoto/Pq0Cps_In_iW-fWZDRcO0Q/ls.jpg,Cafe Madison,500.0,$$,4.0,https://www.yelp.com/biz/cafe-madison-albany?osq=restaurants
1 Crossgates Mall Rd,110 Grill Albany,['American New'],https://s3-media3.fl.yelpcdn.com/bphoto/0fLwIUaq2N7gJ6bZCupc6g/ls.jpg,110 Grill,137.0,$$,4.0,https://www.yelp.com/biz/110-grill-albany?osq=restaurants
236 Washington Ave,Umana Restaurant And Wine Bar Albany,"['Breakfast & Brunch', 'Ethiopian', 'Vegan']",https://s3-media2.fl.yelpcdn.com/bphoto/lF2XH1CZrP5q_qAGHDdqXg/ls.jpg,Umana Restaurant and Wine Bar,253.0,$$,4.5,https://www.yelp.com/biz/umana-restaurant-and-wine-bar-albany?osq=restaurants
818 Central Ave,Grappa 72 Ristorante Albany,['Italian'],https://s3-media2.fl.yelpcdn.com/bphoto/4rfIrVNxp7_KxXQklCpHfQ/ls.jpg,Grappa â72 Ristorante,209.0,$$,4.0,https://www.yelp.com/biz/grappa-72-ristorante-albany?osq=restaurants
